Txhash,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Txn Fee
"0xe488d003fd5029ff370ca1c027a26f2f014be584cf392f85424b7090882ef923","Transfer Ownership","5506641","2024-03-17 19:55:24","0x65672b9b32629f37f6d52ac4D9694D6c0778C19D","","0xb6596A464a6115a674bf836390b63E7061ad40b8","","0 ETH","0.00004453"
"0xab337cf3066d62f66eb002d9fab065d009cc321fbf9f95e937816d94542c5423","Transfer Ownership","5504474","2024-03-17 12:18:24","0x5B5564cf9c85Ea730649f1A26f2052759D5500E8","","0xb6596A464a6115a674bf836390b63E7061ad40b8","","0 ETH","0.00017535"
"0xc9a24be86399f7b82aef8cb46e1dbf7c9cf5c85a79c3f1c7153c10abd354b408","Set Text","5504472","2024-03-17 12:18:00","0x5B5564cf9c85Ea730649f1A26f2052759D5500E8","","0xb6596A464a6115a674bf836390b63E7061ad40b8","","0 ETH","0.00017633"
"0x47d92e197db437826941d35836725b150f6b79aaf45496edcfea9ccfcf95009e","Set Text","5504425","2024-03-17 12:08:36","0x65672b9b32629f37f6d52ac4D9694D6c0778C19D","","0xb6596A464a6115a674bf836390b63E7061ad40b8","","0 ETH","0.00023136"
"0xc4752c3a216b66f5aae3faf6fe6c58ddcbf6c943e81fcc551864440253896def","Set Text","5500448","2024-03-16 22:11:24","0xe10E556E5641260d219E62c33B1372477B179BaB","","0xb6596A464a6115a674bf836390b63E7061ad40b8","","0 ETH","0.00003975"
"0x028f04c8cd491359baae2f30e26f02ccf998430cb3ad2cdc1edcb0e708e2cbf3","Transfer Ownership","5500446","2024-03-16 22:11:00","0xe10E556E5641260d219E62c33B1372477B179BaB","","0xb6596A464a6115a674bf836390b63E7061ad40b8","","0 ETH","0.0000441"
"0xffa2ce29e9b561b4405fcad819bf95c2a865f4eb589620e22909f35015654fec","Set Text","5500424","2024-03-16 22:06:24","0xe10E556E5641260d219E62c33B1372477B179BaB","","0xb6596A464a6115a674bf836390b63E7061ad40b8","","0 ETH","0.0001101"
"0x761a8cec8c66b4287841bd32499c01d6f6f04b60c3fff7160324bb7c581034a4","Set Text","5500286","2024-03-16 21:37:12","0x48Bf488D00FE4C83e803688ffE5532EB83E9a0ff","","0xb6596A464a6115a674bf836390b63E7061ad40b8","","0 ETH","0.0000391"
"0xfa99d2dc197ed38182c45793102e58632878d9ae01b37d02298ce0daea9751b6","Transfer Ownership","5500276","2024-03-16 21:35:12","0x48Bf488D00FE4C83e803688ffE5532EB83E9a0ff","","0xb6596A464a6115a674bf836390b63E7061ad40b8","","0 ETH","0.00004431"
"0xf17a1bc8a014eeed0bd2c4f6d4a97bec12292b27780f4de1ded66d2b69846681","Set Text","5500234","2024-03-16 21:26:00","0x48Bf488D00FE4C83e803688ffE5532EB83E9a0ff","","0xb6596A464a6115a674bf836390b63E7061ad40b8","","0 ETH","0.00033033"
"0x0d4fc03cbaaa9ddfcdb5ffc3f7e5d080fc111a219271fc206b74a8dee256bb25","Set Text","5500219","2024-03-16 21:23:00","0x48Bf488D00FE4C83e803688ffE5532EB83E9a0ff","","0xb6596A464a6115a674bf836390b63E7061ad40b8","","0 ETH","0.00010384"
"0x9e67347a1c4e48d39cb982d8c95ed5b4c082839b10ede1426689cb6c63717e19","Set Text","5499642","2024-03-16 19:21:36","0x5B5564cf9c85Ea730649f1A26f2052759D5500E8","","0xb6596A464a6115a674bf836390b63E7061ad40b8","","0 ETH","0.00008963"
"0x124d5e13f3a731eeaa96ad85db54c6f301674e688ff296d37301aac7e9c260b9","Set Text","5498619","2024-03-16 15:44:48","0x6f62febCF3872aFF66Ff03ec6065D6BbA9fe65F8","","0xb6596A464a6115a674bf836390b63E7061ad40b8","","0 ETH","0.00034896"
"0x33a0c9b8c69a55161a559239dad626d0cf5154f9220c085892f982f919960dd0","Set Text","5498612","2024-03-16 15:43:24","0x6f62febCF3872aFF66Ff03ec6065D6BbA9fe65F8","","0xb6596A464a6115a674bf836390b63E7061ad40b8","","0 ETH","0.00036352"
"0x0d7c9a7487d9091d40edc6fcdef08e583a1255b7df0357f3d034993016a97386","Transfer Ownership","5498593","2024-03-16 15:39:24","0x6f62febCF3872aFF66Ff03ec6065D6BbA9fe65F8","","0xb6596A464a6115a674bf836390b63E7061ad40b8","","0 ETH","0.00034106"
"0xc715222c4944f8ab324fc0ad796a614d5959bce8805494b30c4ad84fc31d5ea7","Set Text","5498567","2024-03-16 15:34:00","0x6f62febCF3872aFF66Ff03ec6065D6BbA9fe65F8","","0xb6596A464a6115a674bf836390b63E7061ad40b8","","0 ETH","0.0010037"
"0x6e9d40c805d25eb98e79d85727af5fa4c9d98d02ff9d2572d117c641523aef8e","0x60806040","5498557","2024-03-16 15:32:00","0x6f62febCF3872aFF66Ff03ec6065D6BbA9fe65F8","","Create: HelloWorld","","0 ETH","0.00856413"
